Sat.EarthMJ2000Eq.X,Sat.EarthMJ2000Eq.Y,Sat.EarthMJ2000Eq.Z,Sat.ElapsedSecs
-408687.0661733835,30543.43478538773,-4398.139350603742,763542.4331185059
-408175.5525452799,28668.57343230397,-5161.484648875929,764847.4997956655
-407584.8005628257,26848.12470695438,-5895.180334182142,766153.339606896
-406921.6244230505,25088.68038163347,-6595.7707672375,767459.9576511187
-406193.5873929387,23396.23186648234,-7260.13016759997,768767.3187545151
-405408.8944081326,21776.02847365604,-7885.527143388612,770075.4048231756
-404576.3309267604,20232.58114154435,-8469.630434596509,771384.1688471963
-403705.1911662588,18769.63442352644,-9010.527692981157,772693.5103814118
-402805.1410940894,17390.04735273574,-9506.776875006035,774003.3383637783
-401886.115564147,16095.77114323389,-9957.418223017496,775313.5668626055
-400958.251350246,14887.88138317161,-10361.96678226152,776624.0584383602
-400031.7269690927,13766.49130371572,-10720.44478626952,777934.6963586868
-399116.6531395395,12730.76001679858,-11033.37708264038,779245.3821168398
-398222.9999406559,11778.94486321042,-11301.77237221193,780555.981987936
-397360.4440770478,10908.37014537005,-11527.12793065072,781866.3893155055
-397266.0299640212,10815.62416390603,-11549.80639456939,782013.3821717114
-397176.0008105022,10727.61824421722,-11571.06622484925,782154.3067867169
-397090.487509688,10644.40910858816,-11590.92909750196,782288.875874877
-396831.6638615173,10394.74492530021,-11649.08137241385,782700.6891332217
-396141.8445538725,9743.773328204948,-11789.49246937645,783836.9619477773
-395408.1876053524,9069.506802501302,-11914.90832552882,785125.7169313263
-394724.6246801694,8450.150114900338,-12008.16853981993,786432.4014752638
-394611.9855709034,8348.148582205966,-12021.19885141466,786660.6665662257
-394509.6732534727,8255.360765434563,-12032.43002629835,786871.8085049302
-394413.0061413269,8167.514074465709,-12042.50085334324,787074.8678852571
-394116.7898702291,7896.586373330919,-12069.95549192692,787721.406993689
-393612.7293475995,7423.827885891792,-12103.74947529231,788929.1538154939
-393147.5626098351,6959.24014248212,-12117.70437597169,790224.9117178959
-392762.6885049488,6528.172753575308,-12112.46544997288,791530.5045561399
-392465.7026680809,6125.903346932806,-12092.21686414764,792836.727835983
-392259.7584280423,5744.189802745729,-12061.52420147949,794142.6140969968
-392146.6768774145,5374.264907656684,-12025.06792031822,795448.0752402451
-392127.2165663904,5007.192600058524,-11987.58191767951,796753.1918401248
-392201.1067238804,4634.022885233449,-11953.80697025124,798058.0135656986
-392367.0516870403,4245.863713531542,-11928.43916317748,799362.6348101883
-392622.7435290281,3833.994528982949,-11916.0829904888,800667.1200519078
-392964.8899180974,3389.943833635674,-11921.20252009468,801971.5478853439
-393389.2443385352,2905.585503174649,-11948.07542546575,803275.9831402218
-393890.6449218199,2373.226973796896,-12000.74747995006,804580.4709348595
-394463.0759749736,1785.680436614684,-12082.99063759844,805885.0619007717
-395099.7266650492,1136.342477531646,-12198.26355551148,807189.7984801442
-395793.0409778237,419.284360230763,-12349.67050967897,808494.678363658
-396534.8287149126,-370.7178520142279,-12539.93395756377,809799.7222465463
-397316.3068344172,-1238.079898900918,-12771.35438812468,811104.892815405
-398128.23098853,-2186.401101410119,-13045.79371049322,812410.1675877697
-398960.971405993,-3218.399762223101,-13364.64826015347,813715.5006299727
-399804.6314335461,-4335.900551968962,-13728.83803237257,815020.8491917932
-400649.1498498849,-5539.810635881441,-14138.79561048367,816326.1681058793
-401484.394761058,-6830.087107181853,-14594.45322831014,817631.3886043732
-402300.2876268839,-8205.753215574088,-15095.24806061855,818936.4409230184
-403086.9224839018,-9664.926340347258,-15640.13479188745,820241.2708671531
-403834.6525236765,-11204.80076395497,-16227.58305985396,821545.8059143508
-404534.2411190174,-12821.77607400232,-16855.63157528084,822850.038258126
-405176.8899965132,-14511.34666168491,-17521.85224297512,824153.8988983375
-405754.4073441998,-16268.32347683893,-18223.44374462366,825457.3973551509
-406259.2351275487,-18086.74261792857,-18957.20419818119,826760.5046739103
-406684.5687638257,-19960.04870267684,-19719.61319450271,828063.2423642557
-407024.4059706946,-21881.10930320553,-20506.84761851031,829365.6385664362
-407273.611191098,-23842.30553680207,-21314.82842487121,830667.7373967133
-407427.9665973497,-25835.63080623957,-22139.27149902358,831969.6091694059
-407484.2078177629,-27852.72790595068,-22975.71338761047,833271.3180208462
-407440.0589420135,-29885.03033173235,-23819.58034314274,834572.9561182321
-407294.2518498307,-31923.79364092087,-24666.21203391198,835874.6050587622
-407046.5350235414,-33960.24617593132,-25510.93481557536,837176.373482903
-406697.6749207547,-35985.63201709891,-26349.09020171697,838478.3656328218
-406249.4460569313,-37991.31441316156,-27176.0883043113,839780.6891126675
-405704.6222565447,-39968.82597826362,-27987.4391450906,841083.4287254023
-405066.9326031955,-41910.02210170399,-28778.82615846633,842386.6889542784
-404341.0478664288,-43807.08106428153,-29546.11638005779,843690.537393163
-403532.5157398341,-45652.64903676424,-30285.42954182148,844995.0462272158
-402647.7195228026,-47439.87807159842,-30993.16292992607,846300.2648793859
-401693.8192892721,-49162.49718416127,-31666.02936466497,847606.2166971504
-400678.6693899741,-50814.90315822714,-32301.10199914667,848912.9150768858
